codigo,barcode,nome,modelo,preco,unidade,fonte
677601,7898605606689,CONTROLE REM. UNIV. DVD LE-7035,,4.99,,megamix
1286101,7897705254059,ESTILETE KA-1972,,4.99,UN,megamix
1211201,7891755868037,FITA DE LED 5M COM 2 COMANDOS RGB,KAP-6803,49.99,UN,megamix
1233001,7908782202946,FITA RESISTENTE TEMPERATURA,BOM-1322,11.99,UN,megamix
1067801,7898800000190,FONE DE OUVIDO BLUETOOTH B-19 U,DESENHO GATINHO,29.99,,megamix
1249201,7891102415082,FONE DE OUVIDO BLUETOOTH EL-1508,,54.99,UN,megamix
1064401,7908125210492,FONE DE OUVIDO BLUETOOTH LE-2427,,29.99,UN,megamix
1259401,7898202436634,FONE DE OUVIDO BLUETOOTH LE-366,,39.99,UN,megamix
806401,7897544567600,FONE DE OUVIDO C/MICROFONE KA-712,,4.5,,megamix
794801,7908044600817,FONE DE OUVIDO C/MICROFONE LE-0209Y,,6.99,UN,megamix
634301,7908125202343,FONE DE OUVIDO C/MICROFONE LE-0211,,9.99,UN,megamix
816801,7908125204170,FONE DE OUVIDO C/MICROFONE LE-0212,,6.99,UN,megamix
270195,7908044600336,FONE DE OUVIDO C/MICROFONE LE-0214,,8.99,,megamix
1346401,7891102515133,FONE DE OUVIDO MULTIFUNCIONAL C/,CONTR EL-1513,69.99,UN,megamix
1332001,7908125200714,FONTE CHAVEADA 5V/50A SC1253,,49.99,UN,megamix
1122201,6920230717018,HUB 1USB 3.0 X 2USB 2.0 LEY-1827,,5.99,UN,megamix
650301,745760072866,HUB USB 3.0 LEY-199,,19.99,,megamix
1238701,7908782204667,KIT DE PINCAS 4 PECAS EM ACO,BOM-3620,4.99,UNI,megamix
1271001,7908881400489,KIT DE TESOURAS PROFISSIONAL,LMF-1149,29.99,UND,megamix
269936,6956822439105,KIT TECLADO E MOUSE S/FIO HK-3910,BMAX/ KAPBOM,84.99,UN,megamix
1296601,7903782202250,LAMINA DE SERRA DIAMANTE BOM-5103,,5.99,,megamix
932201,7897723546488,LAMPADA BLUETOOTH KAP-L3,,44.99,UN,megamix
1155601,7908552004046,LAMPADA LED AUTOMOTIVA 20W,KP-HL1001 H3,19.99,UN,megamix
1155501,7908552004107,LAMPADA LED AUTOMOTIVA 25W,KP-HL1002 H3,29.99,UN,megamix
1002201,7891234569103,LANTERNA DE CABECA EC6910,,11.99,,megamix
1159301,7897782367758,LANTERNA SOLAR RECARREGAVEL,KA-L6775,29.99,UNI,megamix
1061701,7897756235489,LUMINARIA COM GLOBO DE LUZ KA-L6522,,21.99,UN,megamix
1271401,7908881406108,LUMINARIA DE MESA RECARREGAVEL,ZB-7006,11.99,UND,megamix
1172901,7897782369912,LUMINARIA DE PAREDE SOLAR 20W,KA-L6991,29.99,,megamix
1173301,7897782369967,LUMINARIA DE PAREDE SOLAR 20W,KA-L6996,17.99,UN,megamix
1292401,7897720271475,LUMINARIA SOLAR 42LEDS KA-7147,,29.99,UN,megamix
1287201,5561225358239,MAQUINA DE ALGODAO DOCE MHTJ-3580,LOF,79.99,UN,megamix
1306901,7897789455755,MICROFONE LAPELA S/ FIO TYPE-C,C/ADAPT KA-R10-IP-3,34.99,,megamix
1306101,7897715946425,MICROFONE LAPELA SEM FIO IPHONE,KA-R10-IP,29.99,UNI,megamix
1256301,7898729411152,MICROFONE LAPELA SEM FIO IPHONE,MC814 TX,29.99,UN,megamix
663001,7898802210269,MINI TECLADO AL-313,,19.99,UN,megamix
1273801,7897253656091,MOUSE COM FIO OPTICO KA-609,,6.99,,megamix
932601,7899718705481,MOUSE OPTICO RGB MS-C33 SPK7204,,9.99,UN,megamix
1380801,7899718706709,MOUSE SEM FIO BLUETOOTH MS-S22T,,14.99,UN,megamix
269589,7898563932240,PILHA ALKALINA MO-AAAC4ALK,,4.99,UN,megamix
1801,mox,PILHA ALKALINA MO-AAC2ALK,,2.99,,megamix
1329401,7908044609964,PRANCHA ALISADORA BIVOLT LE-4501,,49.99,UNI,megamix
1236101,7897724989260,RADIO AM/FM/SW/USB KA-8926 LAREIRA,,89.99,UN,megamix
1258601,7897702465991,RELOGIO DESPERTADOR COM LED,KA-6599,59.99,UNI,megamix
1284401,6998472582732,SUPORTE VEICULAR COM INDUCAO,KD-206,49.99,,megamix
1061301,6920230712358,UMIDIFICADOR DE AR LEY-1816 100ML,Vigência : 21/05/2026até 21/05/2026,39.99,UN,megamix
1370401,7897725067202,ABAJUR DE MESA KA-L6720,,75.99,UNI,megamix
1213201,7908782203431,ABRACADEIRA ENFORCA GATO 2.5*100MM,BOM-5502,2.8,UNI,megamix
1289901,7908782209808,ABRACADEIRA ENFORCA GATO 3.6*150MM,BOM-5505,4.99,,megamix
1365701,7908782213812,ABRACADEIRA ENFORCA GATO 3.6*300MM,BOM-5495,6.99,UN,megamix
1290001,7908782203455,ABRACADEIRA ENFORCA GATO 4.8*200MM,BOM-5504,5.99,UN,megamix
1268501,7908782208924,ABRIDOR DE LATA BOM-1539,,16.99,UN,megamix
1413001,7898766444557,ABRIDOR DE VINHOS ELETRICO OIH-2400 A,PILHA,41.99,,megamix
1458001,7898729419691,ABRIDOR DE VINHOS ELETRICO,RECARREG. ON-UD134,25.99,UN,megamix
269153,7899202105124,ADAP. CAR BLUETOOTH 02493 B01 LEY-50,XT-2044,6.99,UN,megamix
1002601,7898897334574,ADAP. CONVERSOR DE REDE USB 3.0,KA-1555 1000MBPS,26.99,UN,megamix
269702,7898875572301,ADAP. DE AUDIO BLUETOOTH 02491,AL-A230,5.99,,megamix
813001,7891587516830,ADAP. DE AUDIO BLUETOOTH KAP-T33,,5.99,UN,megamix
169701,7898605602759,ADAP. HDMI SWITCH 3X1 LE-4111,,14.99,UN,megamix
257601,7898594124508,ADAP. PARA PLACA DE REDE HB-T80,,14.99,UN,megamix
1316401,2993501054109,ADAP.DE SOM USOM-10 EXBOM BOM-5665,,6.99,,megamix
1430101,7908227229040,ADAPTADOR HDMI PARA VGA COM AUDIO,MTV-725,9.99,UN,megamix
1079501,7908125205412,ADAPTADOR 3 EM 1 VGA/TYPE-C/USB 3.0,LE-4119,36.8,UN,megamix
1334101,7898802405832,ADAPTADOR 4EM1 TYPE-C,PD/VGA/HDMI/USB AU-583,27.99,UN,megamix
630001,7892020070104,ADAPTADOR BLUET. USB 4.0 XK-08 1301,CSR LT-901,6.99,,megamix
564901,7891122335568,ADAPTADOR BLUETOOH BT-163 6313,LEY-234,6.99,UN,megamix
1378501,2010000005712,ADAPTADOR CAR PLAY VPL-1468,,79.99,UN,megamix
1425401,7908552009898,ADAPTADOR DE CAPTURA HDMI USB+,TIPO-C KP-AD161,36.99,UN,megamix
447601,7898901123644,ADAPTADOR DE PLACA DE REDE LE-5572,,15.99,,megamix
1336801,7908782212525,ADAPTADOR DE SERRA P/,PARAFUSADEIRA BOM-5665,64.99,UN,megamix
1454601,7897702571135,ADAPTADOR DE TOMADA KA-7113,,19.99,UN,megamix
1454501,7897702571180,ADAPTADOR DE TOMADA KA-7118,,27.99,UN,megamix
2661,7898594121187,ADAPTADOR DE TOMADA SL6001 KNUP,,7.99,,megamix
1288801,7897712347850,ADAPTADOR DE TOMADA UNIV. C/USB,KA-5398 LE-5573,16.99,UN,megamix
837901,7908125200370,ADAPTADOR DE TOMADA UNIVERSAL,LE-1055S,8.99,UN,megamix
1465201,2993500445700,ADAPTADOR DISPLAYPORT PARA HDMI,4006 04457 EXBOM,10.99,UNI,megamix
1310901,7908552006064,ADAPTADOR HDMI 3 EM 1 KP-HM026,,5.99,,megamix
1389101,7897702578202,ADAPTADOR HDMI BIDIRECIONAL KA-7820,Vigência : 21/05/2026até 21/05/2026,16.99,UN,megamix
1407001,7908227227046,ADAPTADOR HDMI P/VGA MTV-712,,9.99,UN,megamix
1452201,2993500448008,ADAPTADOR HUB 5EM1 4032 04480,,21.99,UN,megamix
1452001,7897725815384,ADAPTADOR HUB 7EM1 TIPO-C KA-1538,,31.99,,megamix
1451901,7897725167001,ADAPTADOR HUB 8EM1 TIPO-C COM USB,KA-6700,29.99,UN,megamix
1465301,7899718709113,ADAPTADOR HUB 8EM1 TIPO-C,UDC-PHNR1008B,34.99,UNI,megamix
1034001,7898897333713,ADAPTADOR IPHONE + P2 KA-Z112,,10.99,UN,megamix
693501,7892020621999,ADAPTADOR MICRO USB P/IPH C/05,XT-2199,6.99,,megamix
874201,8878917557380,ADAPTADOR MINI DP P/HDMI AU-038 G-002,,8.99,UN,megamix
704601,7908125202923,ADAPTADOR OTG IOS LE-0158,,22.8,UN,megamix
1430301,7908227214084,ADAPTADOR OTG USB PARA TIPO-C,MCB-058 AD153,7.99,UN,megamix
1299301,7908552005920,ADAPTADOR P10(M)+2P2(F) KP-HM013,,2.5,,megamix
1264401,7898652417542,ADAPTADOR P2/2JACK KP-HM005,,2.99,UN,megamix
651001,7898652417290,ADAPTADOR PLACA DE SOM HB-T130,,10.99,UN,megamix
1325401,7908161404473,ADAPTADOR PS2 PARA PC D-USB-PS2,,10.99,UN,megamix
582101,2018070965431,ADAPTADOR SWITCH HDMI 3X1 4K KP-3465,,24.99,,megamix
449201,2018082167434,ADAPTADOR SWITCH HDMI 3X1 KP-3464,Vigência : 21/05/2026até 21/05/2026,14.99,UN,megamix
1407201,7908227227060,ADAPTADOR TIPO-C PARA HDMI MTV-716,,19.99,UN,megamix
1407101,7908227227053,ADAPTADOR TIPO-C PARA VGA MTV-715,,17.99,UN,megamix
1249301,7898802405788,ADAPTADOR TYPE-C 3EM1 PD/USB/HDMI,AU-578,19.99,,megamix
874301,2010000027844,ADAPTADOR TYPE-C AL-138 SAIDAS 2,FONE+CARREGAMENTO,4.99,UN,megamix
991201,7898652419423,ADAPTADOR TYPE-C PARA VGA KP-AD121,,18.9,UN,megamix
1303601,7897756481350,ADAPTADOR USB 5G KA-T8190,,39.99,UNI,megamix
1137201,7908552005692,ADAPTADOR WIRELESS 1300MBPS,KP-AW162,54.99,,megamix
1335101,7908552010085,ADAPTADOR WIRELESS 2.0 433MBPS,KP-AW163,39.99,UN,megamix
1335201,7908552010092,ADAPTADOR WIRELESS 3.0 867MBPS,KP-AW164,57.99,UN,megamix
1137101,7908552005685,ADAPTADOR WIRELESS 600MBPS,KP-AW161,34.99,UN,megamix
1430201,7908227231142,ADAPTADOR WIRELESS 600MBPS MWI-003,,33.8,,megamix
1325701,7898814564657,ADAPTADOR WIRELESS AL-UW23D,,37.99,UN,megamix
624501,2010000021231,ADAPTADOR WIRELESS LV-UW06 802.11,LB-450 HB-T130,8.99,UN,megamix
269889,7898594127554,ADAPTADOR WIRELESS USB KP-AW155,,14.99,UN,megamix
653901,7898652413735,ADAPTADOR WIRELESS USB KP-AW156,,12.99,,megamix
1421401,7898766443963,AFIADOR DE FACAS OIH-2702,Vigência : 21/05/2026até 21/05/2026,7.99,UN,megamix
1210701,7908782200720,ALICATE AMPERIMETRO DIGITAL,BOM-6004,32.99,UN,megamix
1429201,7893302527138,ALICATE CORTAR CABOS H2713,,16.99,UN,megamix
1167401,7908782201116,ALICATE CRIMPADOR BOM-1701,,34.99,,megamix
1258201,7808782203134,ALICATE CRIMPAR C/1900 TERMINAL,ILHOS BOM-3706,59.99,UNI,megamix
1181101,7908782203042,ALICATE CRIMPAR COM CATRACA,BOM-1713,24.99,UN,megamix
1429101,7893325513002,ALICATE CRIMPAR RJ45 H1300,,19.99,UN,megamix
1198201,7908782200270,"ALICATE DE BICO 6"" BOM-1601",,11.99,,megamix
1356801,7908782201932,ALICATE DE BICO BOM-1604,,13.99,UN,megamix
1198001,7908782201963,"ALICATE DE BICO CHATO 6"" BOM-1607",,11.99,UN,megamix
1337401,7908782200065,ALICATE DE BOMBA D'AGUA BOM-1610,,24.99,UN,megamix
1390201,7908782201949,ALICATE DE CORTE 8' BOM-1605,,14.99,,megamix
1149601,7908782201987,"ALICATE DE CORTE FRONTAL 6"" BOM-1609",,16.99,UN,megamix
1087301,7908782200485,ALICATE DE PRENSA BOM-1710,,29.99,UN,megamix
1386101,7908782208863,"ALICATE DE PRESSAO 10"" BOM-1630",,19.99,UN,megamix
1102501,7908782202014,ALICATE DE RETENCAO 7'' BOM-1613,,13.8,,megamix
1102601,7908782202038,ALICATE DE RETENCAO 7'' BOM-1615,Vigência : 21/05/2026até 21/05/2026,13.8,UN,megamix
1087201,7908782200584,ALICATE DECAPADOR DE FIO BOM-1702,,28.99,UN,megamix
1335301,7908782200409,ALICATE DESENCAPADOR ESPECIAL,BOM-1709,22.8,UN,megamix
1389801,7908782212099,ALICATE MULTIFUNCIONAL UNIVERSAL,5EM1 BOM-3709,89.99,,megamix
1098001,7908782200843,ALICATE P/ CRIMPAR TG59/RG6 BOM-1704,,21.99,UN,megamix
1087501,7908782201109,ALICATE PARA DESCASCAR FIOS,BOM-1705,17.99,UN,megamix
1282301,7908782206852,ALICATE PERFURADOR BOM-1661,,18.9,UN,megamix
1370001,7908782203004,"ALICATE REBITADOR 10"" BOM-1519",,16.99,,megamix
1125101,7908782200294,"ALICATE UNIVERSAL 8'"" BOM-1603",,13.99,UN,megamix
1102401,7908782200287,"ALICATE UNIVERSAL DE CORTE 6""",BOM-1602,11.99,UN,megamix
1187501,7908044607083,ANTENA DIGITAL 10-25 DBI LE-3094-10,,29.99,UN,megamix
762901,8563489010981,ANTENA DIGITAL 5M KA-1098,,16.99,,megamix
294501,7899718702541,ANTENA DIGITAL AMPLIFICADA AN-I3540B,02562 3094-3,15.99,UN,megamix
1244901,7908044610199,ANTENA DIGITAL LE-3094-11,,17.99,UN,megamix
485001,50138450119,ANTENA DIGITAL P/ TV MTV-3015 TOMATE,,11.99,UN,megamix
845101,7892022022787,ANTENA DIGITAL PARA TV MTA-3005,,21.99,,megamix
838301,7908044604020,ANTENA P/TV LE-3094-13,Vigência : 21/05/2026até 21/05/2026,17.99,UN,megamix
1173701,7897714526307,ANTENA WIRELESS 802 300MBPS KA-T8188,,8.99,UN,megamix
237401,8699258561108,ANTENA WIRELESS A-802.INN LEY-55,,8.99,PC,megamix
489901,6955549365124,APARADOR DE PELOS A PILHA KM-6512,,17.99,,megamix
915501,6955549365117,APARADOR DE PELOS RECARREGAVEL,KM-6511,26.99,UN,megamix
1334601,7897724027276,APARADOR ELETRICO DE SOBRANCELHA,KA-2727,10.99,UN,megamix
1334701,7897781623916,APARADOR FEMININO 2 EM 1 KA-5855,,18.9,UN,megamix
668101,7896585234700,APARELHO DE ILUMINACAO LT-8009,,39.99,,megamix
1396101,7898729412647,APARELHO DE ILUMINACAO ON-LP505 LUZ,BRANCA,47.99,UN,megamix
1319701,7898729415945,APARELHO DE ILUMINACAO ON-LP505R,RGB,46.99,UN,megamix
1403401,7901029801377,APARELHO DE ILUMINAÇÃO OIH-6910,,94.99,UN,megamix
1403301,7901029801384,APARELHO DE ILUMINAÇÃO OIH-6911,,139.99,,megamix
1392601,7898766444762,APARELHO ILUMINACAO 12 CORES,OIH-6901,89.99,UN,megamix
1373001,7898766443000,APONTADOR ELETRICO OIA-8222,,24.99,UN,megamix
1147001,7908044605256,APRESENTADOR WIRELESS LASER,LE-7677,19.99,UN,megamix
1399401,7897725100138,AROMATIZADOR AUTOMOTIVO KA-Z13,,37.8,,megamix
1428101,7908552012638,AROMATIZADOR AUTOMOTIVO KP-S154,Vigência : 21/05/2026até 21/05/2026,39.99,UN,megamix
1438601,7898823120004,AROMATIZADOR PARA CARROS AL-2000,,29.99,UN,megamix
1108401,7908782201772,ASPIRADOR DE PO 12V BOM-7002,,57.99,PC,megamix
1239501,7908782204384,ASPIRADOR DE PO PORTATIL BOM-7003,,22.8,,megamix
1267501,7908782207446,ASPIRADOR DE PO PORTATIL RECARREG.,BOM-7005,74.99,UN,megamix
1352601,7898766445950,ASPIRADOR PORTATIL OIH-5710,,74.99,UN,megamix
1909,789300900325,AUTO TRAFO 300VA APRMAG PER 102,215X220,49.99,UN,megamix
1354601,7908125215282,BABA ELETRONICA COM CAMERA SC-B60,,279.99,,megamix
1101101,7898729410599,BALANCA DE BANHEIRO DIGITAL ON-BL710,,39.99,UN,megamix
1409901,7898729410605,BALANCA DE BANHEIRO ON-BL711,,36.99,UN,megamix
1032301,7898729410629,BALANCA DE BANHEIRO ON-BL712,,37.99,UN,megamix
1325501,7898729410582,BALANCA DE BANHEIRO REDONDA,ON-BL709,39.99,,megamix
1107701,7898729410933,BALANCA DE COZINHA DIGITAL ON-BL700A,,17.99,UN,megamix
1232201,7898729410414,BALANCA DE COZINHA DIGITAL ON-BL702,,24.99,UN,megamix
1232301,7898729410421,BALANCA DE COZINHA DIGITAL ON-BL703,,19.99,UN,megamix
1142101,7898729410940,BALANCA DIGITAL DE BAGAGEM ON-BL714,,19.99,,megamix
1151201,7898729411558,BALANCA DIGITAL DE MAO PARA RACAO,ON-BL717,29.99,UN,megamix
1373201,7898766449491,BALANCA DIGITAL INTELIGENTE OIH-3251,,44.99,UN,megamix
1345501,7897725031203,BALANCA DIGITAL KA-B120,,15.99,UN,megamix
1303801,7898766440634,BALANCA DIGITAL OIH-3202,,26.99,,megamix
981301,7898729410391,BALANCA DIGITAL ON-BL701,,34.99,UN,megamix
981401,7898729410445,BALANCA DIGITAL ON-BL705,,24.99,UN,megamix
992801,7898729410452,BALANCA DIGITAL ON-BL706,,19.99,UN,megamix
1023001,7898729410704,BALANCA DIGITAL ON-BL707,,19.99,,megamix
1265601,7898729411541,BALANCA DIGITAL PARA RACAO ON-BL716,,46.99,UN,megamix
1398001,7897702508308,BALANÇA DE BAGAGEM KA-B30,,17.99,UN,megamix
1438901,7898729418946,BALANÇA DE BANHEIRO INTELIGENTE,ON-BL722,34.99,UN,megamix
1414701,7898766440719,BALANÇA DE BANHEIRO OIH-3272,,47.99,,megamix
1006101,6955549311022,BARBEADOR ELETRICO KM-1102,,64.8,UN,megamix
1004301,6955549319103,BARBEADOR ELETRICO KM-1910,,67.99,UN,megamix
1064701,6955549320246,BARBEADOR ELETRICO KM-2024,,61.99,UN,megamix
1391101,7893095630213,BARBEADOR RECARREGAVEL BM-C044,,57.99,,megamix
1342901,7893095630220,BARBEADOR RECARREGAVEL BM-C045,Vigência : 21/05/2026até 21/05/2026,39.99,UN,megamix
1343401,7893095814736,BARBEADOR RECARREGAVEL BM-C053,,64.99,UN,megamix
1342301,7897723082641,BARBEADOR RECARREGAVEL KA-2719,LE-5208,71.99,UN,megamix
1045701,7908552003575,BARBEADOR RECARREGAVEL KP-BBD02,,79.99,,megamix
1460901,6972520251269,BASE CARREGADOR CONTROLE PS4,TP4-889,47.99,UNI,megamix
1460401,6972520252730,BASE CARREGADOR CONTROLE PS5,TP5-0505,26.99,UND,megamix
1460501,6972520253348,BASE CARREGADOR CONTROLE PS5,TP5-0515B,49.99,UNI,megamix
1462001,6972520258077,BASE CARREGADOR CONTROLE PS5,TP5-35115,84.99,,megamix
1460601,6972520252907,BASE CARREGADOR CONTROLE XBOX,TYX-1817X,67.5,UNI,megamix
1310801,6972520256516,BASE MULTI COOLER E CARREGADOR P/,PS5 TP5-3536B,174.99,UN,megamix
1461101,6972520254147,BASE MULTI COOLER E CARREGADOR P/,PS4 TP4-882C,119.99,UNI,megamix
1461201,6972520259135,BASE MULTI COOLER E CARREGADOR P/,PS5 TP5-05102B,99.99,,megamix
994601,7908611101259,BASE PARA NOTEBOOK COM COOLER,OR-9012,34.99,UN,megamix
965101,7908611100726,BASE PARA NOTEBOOK COM COOLER,OR-9013 OBERON,54.99,UN,megamix
988601,7908611100733,BASE PARA NOTEBOOK COM COOLER,OR-9014,27.99,UN,megamix
1025701,7908611101747,BASTAO DE LUZ RGB OR-PL01,,59.99,,megamix
1375301,7897724101099,BASTAO DE SELFIE 1.03CM DOBRAVEL,KA-ZP109,19.99,UN,megamix
1292801,7897724101068,BASTAO DE SELFIE 19.5CM - 82.5CM,BLUET. KA-ZP106,19.99,UN,megamix
1224101,7897724071187,BASTAO DE SELFIE 19.5CM - 95.5CM,BLUET. KAP-ZP118,17.99,UNI,megamix
1074601,7897787541030,BASTAO DE SELFIE COM BLUETOOTH,KA-ZP103,17.99,,megamix
1395001,7897702501071,BASTÃO DE SELFIE 10CM-40CM KA-ZP107,,24.99,UN,megamix
206401,5379861525034,BAT.P/TEL S/FIO FX-70U 2.4V 600MAH (GP),,12.8,UN,megamix
1457301,7908782220032,BATERIA 12V PARA PARAFUSADEIRA,BOM-5594,24.99,UN,megamix
560401,7898652416149,BATERIA 9V ALCALINA KP-AK9V,,7.99,,megamix
1457901,7898729416140,BATERIA 9V ALCALINA ON-AK9V,,7.99,UN,megamix
1289201,ka-9v,BATERIA 9V C/10 UNID KA-9V,,26.99,UN,megamix
602,7898563932608,BATERIA 9V REC. MO-9V240 MOX,,14.99,UN,megamix
1448601,7898729416348,BATERIA 9V RECARREGAVEL COM CABO,ON-TC9V,24.99,,megamix
1404901,7908417102467,BATERIA 9V RECARREGAVEL FX-9V/28B1,,20.99,UN,megamix
923801,7908417102436,BATERIA 9V ZINCO C/10 UNID FX-9Z1A,,24.99,UN,megamix
270284,7898615152237,BATERIA 9V ZINCO CARBONO FX-9Z1,,3.5,UN,megamix
1132401,7908417101729,BATERIA 9V ZINCO CARBONO FX-9Z2,,6.99,,megamix
1415101,7908044611875,BATERIA 9V ZINCO CARBONO LE-7999-6F22,Vigência : 21/05/2026até 21/05/2026,4.99,UN,megamix
1249101,7908552003629,BATERIA ALCALINA LR41/AG3 KP-AG3,,3.99,UN,megamix
